회차,추첨일,1등 당첨자수,1등 당첨금액,2등 당첨자수,2등 당첨금액,3등 당첨자수,3등 당첨금액,4등 당첨자수,4등 당첨금액,5등 당첨자수,53등 당첨금액,1번,2번,3번,4번,5번,6번,보너스
647,2015.04.25,7,"2,189,725,608원",44,"58,060,907원",1596,"1,600,677원",79202,"50,000원",1351926,"5,000원",5,16,21,23,24,30,29
646,2015.04.18,7,"2,215,498,393원",36,"71,798,560원",1522,"1,698,258원",77400,"50,000원",1321212,"5,000원",2,9,24,41,43,45,30
645,2015.04.11,4,"3,696,297,750원",28,"88,007,090원",1766,"1,395,356원",87873,"50,000원",1444728,"5,000원",1,4,16,26,40,41,31
644,2015.04.04,8,"1,831,451,204원",49,"49,835,407원",1879,"1,299,593원",87582,"50,000원",1401744,"5,000원",5,13,17,23,28,36,8
643,2015.03.28,6,"2,535,763,625원",43,"58,971,248원",1525,"1,662,796원",84656,"50,000원",1407225,"5,000원",15,24,31,32,33,40,13
642,2015.03.21,12,"1,251,460,438원",62,"40,369,692원",1815,"1,379,020원",88406,"50,000원",1465689,"5,000원",8,17,18,24,39,45,32
641,2015.03.14,8,"1,990,074,563원",50,"53,068,655원",1565,"1,695,485원",79145,"50,000원",1340371,"5,000원",11,18,21,36,37,43,12
640,2015.03.07,9,"1,728,768,834원",48,"54,024,027원",1639,"1,582,156원",85410,"50,000원",1404905,"5,000원",14,15,18,21,26,35,23
639,2015.02.28,4,"4,061,185,219원",45,"60,165,707원",1628,"1,663,058원",84861,"50,000원",1439719,"5,000원",6,15,22,23,25,32,40
638,2015.02.21,7,"2,229,403,179원",41,"63,438,302원",1719,"1,513,072원",84781,"50,000원",1422596,"5,000원",7,18,22,24,31,34,6
637,2015.02.14,4,"3,899,241,094원",45,"57,766,535원",1637,"1,587,963원",82147,"50,000원",1369826,"5,000원",3,16,22,37,38,44,23
636,2015.02.07,8,"1,832,362,219원",44,"55,526,128원",1973,"1,238,292원",90830,"50,000원",1461300,"5,000원",6,7,15,16,20,31,26
635,2015.01.31,8,"1,855,587,235원",35,"70,689,038원",1650,"1,499,465원",85675,"50,000원",1427626,"5,000원",11,13,25,26,29,33,32
634,2015.01.24,13,"1,077,935,106원",54,"43,250,483원",2208,"1,057,757원",101514,"50,000원",1562975,"5,000원",4,10,11,12,20,27,38
633,2015.01.17,12,"1,217,257,094원",47,"51,798,175원",1789,"1,360,825원",87613,"50,000원",1430227,"5,000원",9,12,19,20,39,41,13
632,2015.01.10,11,"1,432,587,716원",52,"50,507,901원",1645,"1,596,603원",78418,"50,000원",1320223,"5,000원",15,18,21,32,35,44,6
631,2015.01.03,4,"3,919,853,532원",46,"56,809,472원",1676,"1,559,210원",85710,"50,000원",1491785,"5,000원",1,2,4,23,31,34,8
630,2014.12.27,3,"4,836,305,500원",48,"50,378,183원",1631,"1,482,620원",84380,"50,000원",1420745,"5,000원",8,17,21,24,27,31,15
629,2014.12.20,5,"2,919,433,575원",34,"71,554,745원",1321,"1,841,682원",68554,"50,000원",1183752,"5,000원",19,28,31,38,43,44,1
628,2014.12.13,9,"1,499,942,875원",37,"60,808,495원",1628,"1,382,012원",80147,"50,000원",1323978,"5,000원",1,7,12,15,23,42,11
627,2014.12.06,10,"1,352,230,650원",35,"64,391,936원",1532,"1,471,096원",74824,"50,000원",1243945,"5,000원",2,9,22,25,31,45,12
626,2014.11.29,8,"1,717,871,110원",45,"50,899,885원",1766,"1,296,996원",86261,"50,000원",1371217,"5,000원",13,14,26,33,40,43,15
625,2014.11.22,5,"2,765,184,675원",45,"51,207,124원",1654,"1,393,181원",82014,"50,000원",1354445,"5,000원",3,6,7,20,21,39,13
624,2014.11.15,5,"2,763,729,450원",61,"37,755,867원",1574,"1,463,220원",78840,"50,000원",1309900,"5,000원",1,7,19,26,27,35,16
623,2014.11.08,8,"1,813,702,594원",35,"69,093,433원",1456,"1,660,900원",73522,"50,000원",1245962,"5,000원",7,13,30,39,41,45,25
622,2014.11.01,9,"1,630,598,292원",34,"71,938,160원",1629,"1,501,472원",77626,"50,000원",1270437,"5,000원",9,15,16,21,28,34,24
621,2014.10.25,6,"2,359,723,500원",62,"38,060,057원",1555,"1,517,508원",82843,"50,000원",1336734,"5,000원",1,2,6,16,19,42,9
620,2014.10.18,7,"2,028,283,233원",44,"53,780,238원",1661,"1,424,643원",78155,"50,000원",1266599,"5,000원",2,16,17,32,39,45,40
619,2014.10.11,3,"4,612,479,375원",59,"39,088,809원",1712,"1,347,103원",83710,"50,000원",1355209,"5,000원",6,8,13,30,35,40,21
618,2014.10.04,5,"2,881,326,225원",45,"53,357,894원",1581,"1,518,726원",75243,"50,000원",1260882,"5,000원",8,16,25,30,42,43,15
617,2014.09.27,8,"1,629,701,860원",43,"50,533,391원",1993,"1,090,284원",93731,"50,000원",1481805,"5,000원",4,5,11,12,24,27,28
616,2014.09.20,9,"1,611,811,250원",49,"49,341,161원",1700,"1,422,187원",81118,"50,000원",1350809,"5,000원",5,13,18,23,40,45,3
615,2014.09.13,9,"1,535,062,417원",31,"74,277,214원",1670,"1,378,799원",83981,"50,000원",1383278,"5,000원",10,17,18,19,23,27,35
614,2014.09.06,6,"2,540,975,438원",46,"55,238,597원",1523,"1,668,402원",80393,"50,000원",1360707,"5,000원",8,21,25,39,40,44,18
613,2014.08.30,9,"1,549,831,209원",30,"77,491,561원",1538,"1,511,539원",77945,"50,000원",1299580,"5,000원",7,8,11,16,41,44,35
612,2014.08.23,11,"1,181,705,250원",59,"36,719,655원",1833,"1,181,921원",86228,"50,000원",1364516,"5,000원",6,9,18,19,25,33,40
611,2014.08.16,4,"3,502,706,157원",47,"49,683,776원",1486,"1,571,425원",74589,"50,000원",1258998,"5,000원",2,22,27,33,36,37,14
610,2014.08.09,4,"3,516,018,375원",34,"68,941,537원",1398,"1,676,690원",71718,"50,000원",1218676,"5,000원",14,18,20,23,28,36,33
609,2014.08.02,2,"6,339,311,438원",47,"44,959,656원",1621,"1,303,581원",80472,"50,000원",1300134,"5,000원",4,8,27,34,39,40,13
608,2014.07.26,7,"1,943,530,018원",32,"70,857,866원",1516,"1,495,681원",74353,"50,000원",1243159,"5,000원",4,8,18,19,39,44,41
607,2014.07.19,4,"3,494,480,907원",35,"66,561,542원",1448,"1,608,878원",73277,"50,000원",1220405,"5,000원",8,14,23,36,38,39,13
606,2014.07.12,10,"1,311,566,850원",44,"49,680,563원",1542,"1,417,604원",82879,"50,000원",1366588,"5,000원",1,5,6,14,20,39,22
605,2014.07.05,9,"1,394,232,250원",40,"52,283,710원",2286,"914,851원",92980,"50,000원",1386335,"5,000원",1,2,7,9,10,38,42
604,2014.06.28,11,"1,229,141,557원",36,"62,595,172원",1451,"1,553,016원",75476,"50,000원",1266398,"5,000원",2,6,18,21,33,34,30
603,2014.06.21,4,"3,452,136,563원",30,"76,714,146원",1363,"1,688,500원",71799,"50,000원",1227396,"5,000원",2,19,25,26,27,43,28
602,2014.06.14,8,"1,689,530,860원",42,"53,635,901원",1675,"1,344,901원",77026,"50,000원",1251693,"5,000원",13,14,22,27,30,38,2
601,2014.06.07,9,"1,524,565,209원",28,"81,673,137원",1516,"1,508,475원",72233,"50,000원",1205559,"5,000원",2,16,19,31,34,35,37
600,2014.05.31,15,"901,798,725원",41,"54,987,728원",1518,"1,485,176원",77138,"50,000원",1258677,"5,000원",5,11,14,27,29,36,44
599,2014.05.24,8,"1,710,918,329원",43,"53,051,732원",1685,"1,353,843원",79069,"50,000원",1297530,"5,000원",5,12,17,29,34,35,27
598,2014.05.17,16,"833,998,594원",50,"44,479,925원",2053,"1,083,291원",86005,"50,000원",1333411,"5,000원",4,12,24,33,38,45,22
597,2014.05.10,13,"1,057,920,606원",46,"49,829,594원",1532,"1,496,189원",75553,"50,000원",1260248,"5,000원",8,10,23,24,35,43,37
596,2014.05.03,10,"1,328,267,663원",41,"53,994,621원",1651,"1,340,872원",80007,"50,000원",1313990,"5,000원",3,4,12,14,25,43,17
595,2014.04.26,8,"1,744,525,219원",54,"43,074,697원",1501,"1,549,656원",77652,"50,000원",1281555,"5,000원",8,24,28,35,38,40,5
594,2014.04.19,11,"1,255,592,796원",42,"54,807,623원",1750,"1,315,383원",79157,"50,000원",1301802,"5,000원",2,8,13,25,28,37,3
593,2014.04.12,9,"1,532,833,500원",62,"37,084,682원",1818,"1,264,715원",87413,"50,000원",1383890,"5,000원",9,10,13,24,33,38,28
592,2014.04.05,6,"2,356,381,688원",28,"84,156,489원",1406,"1,675,948원",75519,"50,000원",1284347,"5,000원",2,5,6,13,28,44,43
591,2014.03.29,5,"2,964,676,200원",38,"65,014,829원",1483,"1,665,923원",73310,"50,000원",1251393,"5,000원",8,13,14,30,38,39,5
590,2014.03.22,7,"2,185,183,983원",31,"82,238,107원",1370,"1,860,863원",70019,"50,000원",1221113,"5,000원",20,30,36,38,41,45,23
589,2014.03.15,7,"2,136,877,983원",42,"59,357,722원",1559,"1,599,118원",77435,"50,000원",1301184,"5,000원",6,8,28,33,38,39,22
588,2014.03.08,5,"2,889,342,075원",43,"55,995,002원",1676,"1,436,626원",78517,"50,000원",1315684,"5,000원",2,8,15,22,25,41,30
587,2014.03.01,3,"4,974,577,375원",43,"57,843,923원",1437,"1,730,890원",73745,"50,000원",1254438,"5,000원",14,21,29,31,32,37,17
586,2014.02.22,8,"1,778,354,344원",46,"51,546,503원",1570,"1,510,280원",80965,"50,000원",1346737,"5,000원",2,7,12,15,21,34,5
585,2014.02.15,9,"1,620,546,334원",45,"54,018,212원",1528,"1,590,851원",79691,"50,000원",1339079,"5,000원",6,7,10,16,38,41,4
584,2014.02.08,3,"5,033,183,250원",32,"78,643,489원",1464,"1,718,984원",77972,"50,000원",1328119,"5,000원",7,18,30,39,40,41,36
583,2014.02.01,11,"1,341,848,353원",51,"48,236,379원",1826,"1,347,238원",88583,"50,000원",1445611,"5,000원",8,17,27,33,40,44,24
582,2014.01.25,4,"3,560,558,719원",57,"41,643,962원",1631,"1,455,369원",79917,"50,000원",1333596,"5,000원",2,12,14,33,40,41,25
581,2014.01.18,8,"1,844,554,547원",39,"63,061,694원",1384,"1,777,028원",76964,"50,000원",1321056,"5,000원",3,5,14,20,42,44,33
580,2014.01.11,7,"2,028,610,500원",42,"56,350,292원",1665,"1,421,449원",86352,"50,000원",1401162,"5,000원",5,7,9,11,32,35,33
579,2014.01.04,11,"1,396,068,444원",46,"55,640,409원",1769,"1,446,840원",85011,"50,000원",1408043,"5,000원",5,7,20,22,37,42,39
578,2013.12.28,5,"2,796,466,575원",43,"54,195,089원",1615,"1,442,966원",80303,"50,000원",1326822,"5,000원",5,12,14,32,34,42,16
577,2013.12.21,3,"4,484,438,375원",42,"53,386,172원",1526,"1,469,345원",79150,"50,000원",1322032,"5,000원",16,17,22,31,34,37,33
576,2013.12.14,3,"4,321,966,000원",54,"40,018,204원",1561,"1,384,359원",76903,"50,000원",1242512,"5,000원",10,11,15,25,35,41,13
575,2013.12.07,8,"1,699,267,875원",45,"50,348,678원",1488,"1,522,642원",75000,"50,000원",1257969,"5,000원",2,8,20,30,33,34,6
574,2013.11.30,2,"6,965,184,938원",33,"70,355,404원",1259,"1,844,106원",68910,"50,000원",1184428,"5,000원",14,15,16,19,25,43,2
573,2013.11.23,8,"1,645,691,766원",50,"43,885,114원",1622,"1,352,809원",78997,"50,000원",1308493,"5,000원",2,4,20,34,35,43,14
572,2013.11.16,8,"1,668,216,188원",53,"41,967,703원",1734,"1,282,750원",81361,"50,000원",1274889,"5,000원",3,13,18,33,37,45,1
571,2013.11.09,7,"1,966,538,465원",33,"69,524,088원",1506,"1,523,437원",74042,"50,000원",1238061,"5,000원",11,18,21,26,38,43,29
570,2013.11.02,9,"1,527,791,625원",38,"60,307,565원",1573,"1,456,890원",77565,"50,000원",1323078,"5,000원",1,12,26,27,29,33,42
569,2013.10.26,4,"3,467,925,188원",36,"64,220,837원",1706,"1,355,188원",81582,"50,000원",1329250,"5,000원",3,6,13,23,24,35,1
568,2013.10.19,10,"1,305,167,550원",50,"43,505,585원",1845,"1,179,014원",87784,"50,000원",1409876,"5,000원",1,3,17,20,31,44,40
567,2013.10.12,6,"2,318,659,438원",53,"43,748,292원",1547,"1,498,811원",76284,"50,000원",1271252,"5,000원",1,10,15,16,32,41,28
566,2013.10.05,4,"3,508,951,032원",35,"66,837,163원",1555,"1,504,374원",74789,"50,000원",1275890,"5,000원",4,5,6,25,26,43,41
565,2013.09.28,8,"1,742,064,469원",39,"59,557,760원",1866,"1,244,777원",85438,"50,000원",1384878,"5,000원",4,10,18,27,40,45,38
564,2013.09.21,7,"1,934,801,143원",32,"70,539,625원",1649,"1,368,871원",83100,"50,000원",1358618,"5,000원",14,19,25,26,27,34,2
563,2013.09.14,7,"1,932,735,643원",38,"59,338,375원",1642,"1,373,239원",79945,"50,000원",1324790,"5,000원",5,10,16,17,31,32,21
562,2013.09.07,11,"1,166,694,614원",51,"41,940,003원",1789,"1,195,607원",85094,"50,000원",1355577,"5,000원",4,11,13,17,20,31,33
561,2013.08.31,5,"2,753,712,225원",41,"55,969,761원",1434,"1,600,252원",73966,"50,000원",1252562,"5,000원",5,7,18,37,42,45,20
560,2013.08.24,7,"1,976,697,215원",40,"57,653,669원",1476,"1,562,431원",73123,"50,000원",1235465,"5,000원",1,4,20,23,29,45,28
559,2013.08.17,7,"1,926,145,608원",42,"53,504,045원",1566,"1,434,975원",73823,"50,000원",1239640,"5,000원",11,12,25,32,44,45,23
558,2013.08.10,10,"1,315,913,663원",51,"43,003,715원",1408,"1,557,663원",77834,"50,000원",1206457,"5,000원",12,15,19,26,40,43,29
557,2013.08.03,7,"1,888,069,286원",43,"51,226,687원",1503,"1,465,568원",74569,"50,000원",1238570,"5,000원",4,20,26,28,35,40,31
556,2013.07.27,7,"2,005,209,161원",41,"57,058,798원",1411,"1,657,981원",73689,"50,000원",1257532,"5,000원",12,20,23,28,30,44,43
555,2013.07.20,8,"1,711,027,360원",46,"49,594,996원",1554,"1,468,063원",78046,"50,000원",1296730,"5,000원",11,17,21,24,26,36,12
554,2013.07.13,2,"6,813,893,625원",41,"55,397,510원",1484,"1,530,525원",74436,"50,000원",1234010,"5,000원",13,14,17,32,41,42,6
553,2013.07.06,6,"2,249,631,438원",52,"43,262,144원",1647,"1,365,897원",77687,"50,000원",1272468,"5,000원",2,7,17,28,29,39,37
552,2013.06.29,10,"1,330,824,225원",45,"49,289,787원",1808,"1,226,793원",86409,"50,000원",1347284,"5,000원",1,10,20,32,35,40,43
551,2013.06.22,1,"13,526,973,750원",32,"70,452,989원",1440,"1,565,622원",77811,"50,000원",1313634,"5,000원",3,6,20,24,27,44,25
550,2013.06.15,11,"1,118,679,205원",58,"35,360,550원",2728,"751,801원",103421,"50,000원",1328508,"5,000원",1,7,14,20,34,37,41
549,2013.06.08,8,"1,760,805,047원",35,"67,078,288원",1487,"1,578,844원",71700,"50,000원",1213077,"5,000원",29,31,35,38,40,44,17
548,2013.06.01,8,"1,736,871,891원",46,"50,344,113원",1646,"1,406,944원",78057,"50,000원",1291286,"5,000원",1,12,13,21,32,45,14
547,2013.05.25,5,"2,838,444,450원",54,"43,803,156원",1548,"1,528,018원",75527,"50,000원",1256984,"5,000원",6,7,15,22,34,39,28
546,2013.05.18,30,"405,939,950원",55,"36,903,632원",3110,"652,637원",104469,"50,000원",1379107,"5,000원",8,17,20,27,37,43,6
545,2013.05.11,11,"1,198,994,353원",42,"52,337,056원",1497,"1,468,375원",77301,"50,000원",1306657,"5,000원",4,24,25,27,34,35,2
544,2013.05.04,13,"1,046,388,433원",47,"48,237,765원",1527,"1,484,725원",74263,"50,000원",1235509,"5,000원",5,17,21,25,36,44,10
543,2013.04.27,12,"1,112,934,844원",47,"47,358,930원",1968,"1,131,032원",81520,"50,000원",1280433,"5,000원",13,18,26,31,34,44,12
542,2013.04.20,6,"2,335,152,563원",26,"89,813,561원",1456,"1,603,814원",72242,"50,000원",1236252,"5,000원",5,6,19,26,41,45,34
541,2013.04.13,11,"1,269,327,171원",40,"58,177,496원",1444,"1,611,565원",73911,"50,000원",1246235,"5,000원",8,13,26,28,32,34,43
540,2013.04.06,7,"1,989,365,250원",26,"89,266,390원",1409,"1,647,216원",72629,"50,000원",1234194,"5,000원",3,12,13,15,34,36,14
539,2013.03.30,9,"1,621,036,667원",42,"57,894,167원",1519,"1,600,761원",75592,"50,000원",1270479,"5,000원",3,19,22,31,42,43,26
538,2013.03.23,3,"4,688,021,625원",48,"48,833,559원",1724,"1,359,636원",82529,"50,000원",1347630,"5,000원",6,10,18,31,32,34,11
537,2013.03.16,7,"2,104,038,911원",35,"70,134,631원",1444,"1,699,940원",75265,"50,000원",1265143,"5,000원",12,23,26,30,36,43,11
536,2013.03.09,11,"1,308,523,603원",40,"59,973,999원",1676,"1,431,361원",80139,"50,000원",1336621,"5,000원",7,8,18,32,37,43,12
535,2013.03.02,3,"4,935,603,000원",31,"79,606,500원",1512,"1,632,144원",76742,"50,000원",1336486,"5,000원",11,12,14,15,18,39,34
534,2013.02.23,1,"14,215,763,250원",55,"43,078,071원",1537,"1,541,506원",79943,"50,000원",1332446,"5,000원",10,24,26,29,37,38,32
533,2013.02.16,8,"1,785,671,579원",44,"54,111,260원",1517,"1,569,477원",78509,"50,000원",1333013,"5,000원",9,14,15,17,31,33,23
532,2013.02.09,7,"2,216,896,286원",26,"99,476,116원",1480,"1,747,554원",74186,"50,000원",1288672,"5,000원",16,17,23,24,29,44,3
531,2013.02.02,9,"1,521,519,750원",42,"54,339,992원",1618,"1,410,557원",78757,"50,000원",1317489,"5,000원",1,5,9,21,27,35,45
530,2013.01.26,11,"1,231,656,239원",40,"56,450,911원",1449,"1,558,342원",75595,"50,000원",1255300,"5,000원",16,23,27,29,33,41,22
529,2013.01.19,8,"1,749,114,797원",33,"70,671,305원",1502,"1,552,699원",75069,"50,000원",1282443,"5,000원",18,20,24,27,31,42,39
528,2013.01.12,11,"1,197,889,125원",86,"25,536,397원",1811,"1,212,662원",87443,"50,000원",1366616,"5,000원",5,17,25,31,39,40,10
527,2013.01.05,13,"1,032,386,366원",29,"77,132,315원",1967,"1,137,183원",83212,"50,000원",1287504,"5,000원",1,12,22,32,33,42,38
526,2012.12.29,9,"1,491,031,959원",49,"45,643,836원",1539,"1,453,248원",78325,"50,000원",1291054,"5,000원",7,14,17,20,35,39,31
525,2012.12.22,9,"1,501,132,375원",41,"54,919,478원",1543,"1,459,300원",73791,"50,000원",1215973,"5,000원",11,23,26,29,39,44,22
524,2012.12.15,4,"3,491,695,594원",36,"64,661,030원",1338,"1,739,759원",67866,"50,000원",1163075,"5,000원",10,11,29,38,41,45,21
523,2012.12.08,7,"1,780,355,840원",43,"48,304,229원",1557,"1,334,029원",79706,"50,000원",1247454,"5,000원",1,4,37,38,40,45,7
522,2012.12.01,6,"2,281,623,000원",39,"58,503,154원",1495,"1,526,170원",76078,"50,000원",1293961,"5,000원",4,5,13,14,37,41,11
521,2012.11.24,8,"1,693,420,922원",53,"42,601,785원",1612,"1,400,679원",75589,"50,000원",1250016,"5,000원",3,7,18,29,32,36,19
520,2012.11.17,6,"2,167,205,438원",37,"58,573,120원",1627,"1,332,026원",77196,"50,000원",1260891,"5,000원",4,22,27,28,38,40,1
519,2012.11.10,7,"1,950,601,393원",32,"71,115,676원",1357,"1,677,010원",71405,"50,000원",1206248,"5,000원",6,8,13,16,30,43,3
518,2012.11.03,6,"2,263,804,125원",34,"66,582,475원",1349,"1,678,135원",71110,"50,000원",1198970,"5,000원",14,23,30,32,34,38,6
517,2012.10.27,5,"2,659,057,725원",40,"55,397,036원",1493,"1,484,181원",70854,"50,000원",1192872,"5,000원",1,9,12,28,36,41,10
516,2012.10.20,11,"1,294,190,182원",32,"74,146,313원",1338,"1,773,305원",67233,"50,000원",1169955,"5,000원",2,8,23,41,43,44,30
515,2012.10.13,1,"13,200,466,875원",35,"62,859,367원",1450,"1,517,296원",74773,"50,000원",1258039,"5,000원",2,11,12,15,23,37,8
514,2012.10.06,3,"4,451,055,500원",36,"61,820,216원",1362,"1,634,015원",70323,"50,000원",1181166,"5,000원",1,15,20,26,35,42,9
513,2012.09.29,3,"4,589,624,750원",54,"42,496,526원",1626,"1,411,324원",82270,"50,000원",1337355,"5,000원",5,8,21,23,27,33,12
512,2012.09.22,13,"940,094,452원",52,"39,170,603원",1682,"1,210,982원",82439,"50,000원",1318396,"5,000원",4,5,9,13,26,27,1
511,2012.09.15,6,"2,165,579,250원",37,"58,529,169원",1524,"1,420,984원",72310,"50,000원",1209004,"5,000원",3,7,14,23,26,42,24
510,2012.09.08,5,"2,644,158,150원",25,"88,138,605원",1319,"1,670,558원",69724,"50,000원",1173715,"5,000원",12,29,32,33,39,40,42
509,2012.09.01,5,"2,689,076,100원",34,"65,908,728원",1228,"1,824,835원",64934,"50,000원",1104261,"5,000원",12,25,29,35,42,43,24
508,2012.08.25,8,"1,599,557,860원",31,"68,798,188원",1596,"1,336,306원",75460,"50,000원",1234049,"5,000원",5,27,31,34,35,43,37
507,2012.08.18,9,"1,416,438,875원",29,"73,264,080원",1473,"1,442,403원",73411,"50,000원",1230314,"5,000원",12,13,32,33,40,41,4
506,2012.08.11,3,"4,073,333,875원",33,"61,717,180원",1588,"1,282,536원",75289,"50,000원",1224774,"5,000원",6,9,11,22,24,30,31
505,2012.08.04,6,"1,917,955,188원",38,"50,472,505원",1440,"1,331,914원",69758,"50,000원",1144014,"5,000원",7,20,22,25,38,40,44
504,2012.07.28,9,"1,443,236,959원",29,"74,650,188원",1294,"1,672,995원",63257,"50,000원",1082365,"5,000원",6,14,22,26,43,44,31
503,2012.07.21,7,"1,853,634,911원",42,"51,489,859원",1292,"1,673,819원",69822,"50,000원",1198882,"5,000원",1,5,27,30,34,36,40
502,2012.07.14,6,"2,201,458,125원",31,"71,014,779원",1482,"1,485,465원",70160,"50,000원",1176131,"5,000원",6,22,28,32,34,40,26
501,2012.07.07,4,"3,025,200,094원",61,"33,062,297원",1639,"1,230,507원",77235,"50,000원",1272541,"5,000원",1,4,10,17,31,42,2
500,2012.06.30,9,"1,351,072,375원",68,"29,803,068원",1831,"1,106,832원",84979,"50,000원",1308863,"5,000원",3,4,12,20,24,34,41
499,2012.06.23,3,"4,070,480,250원",46,"44,244,351원",1514,"1,344,281원",76797,"50,000원",1252409,"5,000원",5,20,23,27,35,40,43
498,2012.06.16,4,"3,244,503,094원",35,"61,800,059원",1334,"1,621,441원",68471,"50,000원",1139612,"5,000원",13,14,24,32,39,41,3
497,2012.06.09,6,"2,222,817,813원",30,"74,093,928원",1148,"1,936,253원",61101,"50,000원",1073640,"5,000원",19,20,23,24,43,44,13
496,2012.06.02,4,"3,285,932,250원",46,"47,622,207원",1389,"1,577,122원",66873,"50,000원",1117856,"5,000원",4,13,20,29,36,41,39
495,2012.05.26,6,"2,111,645,000원",44,"47,991,932원",1568,"1,346,713원",75762,"50,000원",1228344,"5,000원",4,13,22,27,34,44,6
494,2012.05.19,12,"1,054,588,407원",40,"52,729,421원",1539,"1,370,486원",74174,"50,000원",1215736,"5,000원",5,7,8,15,30,43,22
493,2012.05.12,9,"1,451,120,334원",27,"80,617,797원",1342,"1,621,968원",68608,"50,000원",1154415,"5,000원",20,22,26,33,36,37,25
492,2012.05.05,5,"2,493,013,800원",40,"51,937,788원",1434,"1,448,753원",69327,"50,000원",1152057,"5,000원",22,27,31,35,37,40,42
491,2012.04.28,4,"3,304,634,438원",31,"71,067,408원",1360,"1,619,919원",68290,"50,000원",1133544,"5,000원",8,17,35,36,39,42,4
490,2012.04.21,7,"1,860,234,161원",29,"74,837,007원",1357,"1,599,318원",65961,"50,000원",1126965,"5,000원",2,7,26,29,40,43,42
489,2012.04.14,6,"2,106,360,625원",52,"40,506,936원",1538,"1,369,546원",75822,"50,000원",1227452,"5,000원",2,4,8,15,20,27,11
488,2012.04.07,10,"1,330,393,575원",33,"67,191,595원",1345,"1,648,567원",69224,"50,000원",1181353,"5,000원",2,8,17,30,31,38,25
487,2012.03.31,8,"1,638,830,766원",46,"47,502,342원",1587,"1,376,880원",76639,"50,000원",1265088,"5,000원",4,8,25,27,37,41,21
486,2012.03.24,13,"1,008,634,125원",29,"75,357,722원",1501,"1,455,946원",72658,"50,000원",1230904,"5,000원",1,2,23,25,38,40,43
485,2012.03.17,9,"1,501,474,917원",33,"68,248,860원",1406,"1,601,859원",72785,"50,000원",1237898,"5,000원",17,22,26,27,36,39,20
484,2012.03.10,6,"2,305,303,063원",32,"72,040,721원",1343,"1,716,533원",70285,"50,000원",1197263,"5,000원",1,3,27,28,32,45,11
483,2012.03.03,5,"2,567,196,675원",53,"40,364,728원",1886,"1,134,322원",83480,"50,000원",1300537,"5,000원",12,15,19,22,28,34,5
482,2012.02.25,7,"1,897,921,179원",30,"73,808,046원",1639,"1,350,971원",78522,"50,000원",1292139,"5,000원",1,10,16,24,25,35,43
481,2012.02.18,3,"4,639,355,750원",34,"68,225,820원",1294,"1,792,642원",66695,"50,000원",1185827,"5,000원",3,4,23,29,40,41,20
480,2012.02.11,4,"2,996,742,282원",50,"39,956,564원",1983,"1,007,478원",96288,"50,000원",1382163,"5,000원",3,5,10,17,30,31,16
479,2012.02.04,6,"2,233,046,500원",34,"65,677,839원",1389,"1,607,665원",71489,"50,000원",1197119,"5,000원",8,23,25,27,35,44,24
478,2012.01.28,14,"987,224,759원",35,"65,814,984원",1285,"1,792,627원",67069,"50,000원",1141261,"5,000원",18,29,30,37,39,43,8
477,2012.01.21,8,"1,919,011,829원",33,"77,535,832원",1474,"1,735,877원",73001,"50,000원",1256239,"5,000원",14,25,29,32,33,45,37
476,2012.01.14,4,"3,439,851,469원",34,"67,448,069원",1294,"1,772,206원",68643,"50,000원",1203577,"5,000원",9,12,13,15,37,38,27
475,2012.01.07,8,"1,693,923,047원",33,"68,441,336원",1486,"1,519,896원",75257,"50,000원",1238055,"5,000원",1,9,14,16,21,29,3
474,2011.12.31,15,"936,690,800원",48,"48,785,980원",1738,"1,347,369원",81500,"50,000원",1336085,"5,000원",4,13,18,31,33,45,43
473,2011.12.24,4,"3,250,418,063원",36,"60,192,928원",1313,"1,650,378원",67064,"50,000원",1148971,"5,000원",8,13,20,22,23,36,34
472,2011.12.17,7,"1,809,656,090원",23,"91,794,150원",1352,"1,561,587원",68212,"50,000원",1132776,"5,000원",16,25,26,31,36,43,44
471,2011.12.10,7,"1,939,332,858원",30,"75,418,500원",1219,"1,856,075원",63297,"50,000원",1096176,"5,000원",6,13,29,37,39,41,43
470,2011.12.03,3,"4,333,330,625원",27,"80,246,864원",1390,"1,558,753원",71706,"50,000원",1207572,"5,000원",10,16,20,39,41,42,27
469,2011.11.26,4,"3,330,131,250원",33,"67,275,379원",1277,"1,738,519원",65880,"50,000원",1125554,"5,000원",4,21,22,34,37,38,33
468,2011.11.19,9,"1,527,197,167원",33,"69,418,054원",1457,"1,572,269원",70701,"50,000원",1187572,"5,000원",8,13,15,28,37,43,17
467,2011.11.12,9,"1,435,441,084원",33,"65,247,322원",1811,"1,188,936원",88314,"50,000원",1410192,"5,000원",2,12,14,17,24,40,39
466,2011.11.05,9,"1,530,313,459원",55,"41,735,822원",1746,"1,314,703원",83132,"50,000원",1327403,"5,000원",4,10,13,23,32,44,20
465,2011.10.29,7,"1,923,662,893원",46,"48,788,552원",1733,"1,295,023원",83244,"50,000원",1356052,"5,000원",1,8,11,13,22,38,31
464,2011.10.22,13,"3,355,721,106원",78,"67,273,025원",3145,"1,668,457원",159899,"50,000원",2682564,"5,000원",6,12,15,34,42,44,4
463,2011.10.15,0,0원,37,"54,687,384원",1254,"1,613,584원",62251,"50,000원",1060512,"5,000원",23,29,31,33,34,44,40
